Target;PTWD;FTWD;INSWORD;Evaluation.Set;Acc
xwbi-rc;0.1;0.01;-8.0;Test.Set;73.58
xwtri;0.1;0.01;-4.0;Train.Set;82.01
xwtri;0.1;0.01;-4.0;Test.Set;73.26
xwbi-rc;0.1;0.01;-4.0;Train.Set;82.49
xwbi-rc;0.1;0.01;-4.0;Test.Set;73.36
xwtri;0.1;0.01;-2.0;Train.Set;81.89
xwtri;0.1;0.01;-2.0;Test.Set;72.86
xwbi-rc;0.1;0.01;-2.0;Train.Set;82.40
xwbi-rc;0.1;0.01;-2.0;Test.Set;72.95
xwtri;0.1;0.01;0.0;Train.Set;81.52
xwtri;0.1;0.01;0.0;Test.Set;71.92
xwbi-rc;0.1;0.01;0.0;Train.Set;81.96
xwbi-rc;0.1;0.01;0.0;Test.Set;72.08
xwtri;0.1;0.001;-8.0;Train.Set;81.60
xwtri;0.1;0.001;-8.0;Test.Set;73.42
xwbi-rc;0.1;0.001;-8.0;Train.Set;82.99
xwbi-rc;0.1;0.001;-8.0;Test.Set;73.49
xwtri;0.1;0.001;-4.0;Train.Set;81.88
xwtri;0.1;0.001;-4.0;Test.Set;73.07
xwbi-rc;0.1;0.001;-4.0;Train.Set;83.47
xwbi-rc;0.1;0.001;-4.0;Test.Set;73.25
xwtri;0.1;0.001;-2.0;Train.Set;81.72
xwtri;0.1;0.001;-2.0;Test.Set;72.56
xwbi-rc;0.1;0.001;-2.0;Train.Set;83.40
xwbi-rc;0.1;0.001;-2.0;Test.Set;72.65
xwtri;0.1;0.001;0.0;Train.Set;81.27
xwtri;0.1;0.001;0.0;Test.Set;71.67
xwbi-rc;0.1;0.001;0.0;Train.Set;83.00
xwbi-rc;0.1;0.001;0.0;Test.Set;71.87
xwtri;0.1;0.0001;-8.0;Train.Set;83.19
xwtri;0.1;0.0001;-8.0;Test.Set;73.74
xwbi-rc;0.1;0.0001;-8.0;Train.Set;82.74
xwbi-rc;0.1;0.0001;-8.0;Test.Set;73.58
xwtri;0.1;0.0001;-4.0;Train.Set;83.49
xwtri;0.1;0.0001;-4.0;Test.Set;73.30
xwbi-rc;0.1;0.0001;-4.0;Train.Set;83.16
xwbi-rc;0.1;0.0001;-4.0;Test.Set;73.26
xwtri;0.1;0.0001;-2.0;Train.Set;83.44
xwtri;0.1;0.0001;-2.0;Test.Set;72.78
xwbi-rc;0.1;0.0001;-2.0;Train.Set;83.08
xwbi-rc;0.1;0.0001;-2.0;Test.Set;72.72
xwtri;0.1;0.0001;0.0;Train.Set;83.17
xwtri;0.1;0.0001;0.0;Test.Set;71.96
xwbi-rc;0.1;0.0001;0.0;Train.Set;82.71
xwbi-rc;0.1;0.0001;0.0;Test.Set;71.89
xwtri;0.1;0.00001;-8.0;Train.Set;82.26
xwtri;0.1;0.00001;-8.0;Test.Set;73.52
xwbi-rc;0.1;0.00001;-8.0;Train.Set;83.91
xwbi-rc;0.1;0.00001;-8.0;Test.Set;73.72
xwtri;0.1;0.00001;-4.0;Train.Set;82.52
xwtri;0.1;0.00001;-4.0;Test.Set;73.11
xwbi-rc;0.1;0.00001;-4.0;Train.Set;84.35
xwbi-rc;0.1;0.00001;-4.0;Test.Set;73.29
xwtri;0.1;0.00001;-2.0;Train.Set;82.46
xwtri;0.1;0.00001;-2.0;Test.Set;72.60
xwbi-rc;0.1;0.00001;-2.0;Train.Set;84.27
xwbi-rc;0.1;0.00001;-2.0;Test.Set;72.81
xwtri;0.1;0.00001;0.0;Train.Set;81.98
xwtri;0.1;0.00001;0.0;Test.Set;71.81
xwbi-rc;0.1;0.00001;0.0;Train.Set;83.94
xwbi-rc;0.1;0.00001;0.0;Test.Set;71.93
