Num.Realign;TrainAcc;CVAcc
1;64.88;54.28
2;69.27;55.14
3;68.70;55.36
4;70.76;55.22
5;71.33;55.47
6;71.27;55.59
7;68.66;55.74
8;70.72;55.64
9;69.38;55.61
10;69.44;56.18
