Num.Layers;PTWD;FTWD;INSWORD;Evaluation.Set;Accuracy
2;0.001;0.01;-2.0;Test.Set;69.80
2;0.001;0.01;0.0;Train.Set;76.19
2;0.001;0.01;0.0;Test.Set;68.98
2;0.001;0.001;-8.0;Train.Set;73.89
2;0.001;0.001;-8.0;Test.Set;68.33
2;0.001;0.001;-4.0;Train.Set;75.41
2;0.001;0.001;-4.0;Test.Set;69.29
2;0.001;0.001;-2.0;Train.Set;75.61
2;0.001;0.001;-2.0;Test.Set;69.19
2;0.001;0.001;0.0;Train.Set;75.14
2;0.001;0.001;0.0;Test.Set;68.46
2;0.001;0.0001;-8.0;Train.Set;75.65
2;0.001;0.0001;-8.0;Test.Set;69.10
2;0.001;0.0001;-4.0;Train.Set;77.00
2;0.001;0.0001;-4.0;Test.Set;69.83
2;0.001;0.0001;-2.0;Train.Set;77.22
2;0.001;0.0001;-2.0;Test.Set;69.71
2;0.001;0.0001;0.0;Train.Set;76.69
2;0.001;0.0001;0.0;Test.Set;68.78
2;0.001;0.00001;-8.0;Train.Set;74.81
2;0.001;0.00001;-8.0;Test.Set;68.70
2;0.001;0.00001;-4.0;Train.Set;76.39
2;0.001;0.00001;-4.0;Test.Set;69.51
2;0.001;0.00001;-2.0;Train.Set;76.64
2;0.001;0.00001;-2.0;Test.Set;69.48
2;0.001;0.00001;0.0;Train.Set;76.23
2;0.001;0.00001;0.0;Test.Set;68.52
2;0.001;0.000001;-8.0;Train.Set;74.84
2;0.001;0.000001;-8.0;Test.Set;68.64
2;0.001;0.000001;-4.0;Train.Set;76.41
2;0.001;0.000001;-4.0;Test.Set;69.57
2;0.001;0.000001;-2.0;Train.Set;76.67
2;0.001;0.000001;-2.0;Test.Set;69.44
2;0.001;0.000001;0.0;Train.Set;76.26
2;0.001;0.000001;0.0;Test.Set;68.52
2;0.0001;0.1;-8.0;Train.Set;67.52
2;0.0001;0.1;-8.0;Test.Set;65.36
2;0.0001;0.1;-4.0;Train.Set;69.43
2;0.0001;0.1;-4.0;Test.Set;67.07
2;0.0001;0.1;-2.0;Train.Set;69.71
2;0.0001;0.1;-2.0;Test.Set;67.31
2;0.0001;0.1;0.0;Train.Set;69.20
2;0.0001;0.1;0.0;Test.Set;66.65
2;0.0001;0.01;-8.0;Train.Set;74.52
2;0.0001;0.01;-8.0;Test.Set;68.61
2;0.0001;0.01;-4.0;Train.Set;75.95
2;0.0001;0.01;-4.0;Test.Set;69.56
2;0.0001;0.01;-2.0;Train.Set;76.24
2;0.0001;0.01;-2.0;Test.Set;69.52
2;0.0001;0.01;0.0;Train.Set;75.66
2;0.0001;0.01;0.0;Test.Set;68.60
2;0.0001;0.001;-8.0;Train.Set;74.66
2;0.0001;0.001;-8.0;Test.Set;68.37
2;0.0001;0.001;-4.0;Train.Set;76.12
2;0.0001;0.001;-4.0;Test.Set;69.30
2;0.0001;0.001;-2.0;Train.Set;76.30
2;0.0001;0.001;-2.0;Test.Set;69.10
2;0.0001;0.001;0.0;Train.Set;75.64
2;0.0001;0.001;0.0;Test.Set;68.17
2;0.0001;0.0001;-8.0;Train.Set;75.88
2;0.0001;0.0001;-8.0;Test.Set;68.93
2;0.0001;0.0001;-4.0;Train.Set;77.45
2;0.0001;0.0001;-4.0;Test.Set;69.75
2;0.0001;0.0001;-2.0;Train.Set;77.54
2;0.0001;0.0001;-2.0;Test.Set;69.54
2;0.0001;0.0001;0.0;Train.Set;76.91
2;0.0001;0.0001;0.0;Test.Set;68.61
2;0.0001;0.00001;-8.0;Train.Set;74.71
2;0.0001;0.00001;-8.0;Test.Set;68.32
2;0.0001;0.00001;-4.0;Train.Set;76.07
2;0.0001;0.00001;-4.0;Test.Set;69.29
2;0.0001;0.00001;-2.0;Train.Set;76.25
2;0.0001;0.00001;-2.0;Test.Set;69.05
2;0.0001;0.00001;0.0;Train.Set;75.61
2;0.0001;0.00001;0.0;Test.Set;68.11
2;0.0001;0.000001;-8.0;Train.Set;75.02
2;0.0001;0.000001;-8.0;Test.Set;68.54
2;0.0001;0.000001;-4.0;Train.Set;76.51
2;0.0001;0.000001;-4.0;Test.Set;69.55
2;0.0001;0.000001;-2.0;Train.Set;76.61
2;0.0001;0.000001;-2.0;Test.Set;69.43
2;0.0001;0.000001;0.0;Train.Set;76.01
2;0.0001;0.000001;0.0;Test.Set;68.32
2;0.00001;0.1;-8.0;Train.Set;67.50
2;0.00001;0.1;-8.0;Test.Set;65.25
2;0.00001;0.1;-4.0;Train.Set;69.44
2;0.00001;0.1;-4.0;Test.Set;66.95
2;0.00001;0.1;-2.0;Train.Set;69.69
2;0.00001;0.1;-2.0;Test.Set;67.25
2;0.00001;0.1;0.0;Train.Set;69.11
2;0.00001;0.1;0.0;Test.Set;66.52
2;0.00001;0.01;-8.0;Train.Set;74.65
2;0.00001;0.01;-8.0;Test.Set;68.80
2;0.00001;0.01;-4.0;Train.Set;76.18
2;0.00001;0.01;-4.0;Test.Set;69.76
2;0.00001;0.01;-2.0;Train.Set;76.50
2;0.00001;0.01;-2.0;Test.Set;69.79
2;0.00001;0.01;0.0;Train.Set;76.06
2;0.00001;0.01;0.0;Test.Set;68.91
2;0.00001;0.001;-8.0;Train.Set;75.83
2;0.00001;0.001;-8.0;Test.Set;69.00
2;0.00001;0.001;-4.0;Train.Set;77.30
2;0.00001;0.001;-4.0;Test.Set;69.88
2;0.00001;0.001;-2.0;Train.Set;77.58
2;0.00001;0.001;-2.0;Test.Set;69.62
2;0.00001;0.001;0.0;Train.Set;77.10
2;0.00001;0.001;0.0;Test.Set;68.72
2;0.00001;0.0001;-8.0;Train.Set;75.99
2;0.00001;0.0001;-8.0;Test.Set;69.02
2;0.00001;0.0001;-4.0;Train.Set;77.45
2;0.00001;0.0001;-4.0;Test.Set;69.90
2;0.00001;0.0001;-2.0;Train.Set;77.75
2;0.00001;0.0001;-2.0;Test.Set;69.71
2;0.00001;0.0001;0.0;Train.Set;77.14
2;0.00001;0.0001;0.0;Test.Set;68.73
2;0.00001;0.00001;-8.0;Train.Set;75.95
2;0.00001;0.00001;-8.0;Test.Set;69.03
2;0.00001;0.00001;-4.0;Train.Set;77.44
2;0.00001;0.00001;-4.0;Test.Set;69.84
2;0.00001;0.00001;-2.0;Train.Set;77.74
2;0.00001;0.00001;-2.0;Test.Set;69.70
2;0.00001;0.00001;0.0;Train.Set;77.17
2;0.00001;0.00001;0.0;Test.Set;68.71
2;0.00001;0.000001;-8.0;Train.Set;75.85
2;0.00001;0.000001;-8.0;Test.Set;69.00
2;0.00001;0.000001;-4.0;Train.Set;77.34
2;0.00001;0.000001;-4.0;Test.Set;69.95
2;0.00001;0.000001;-2.0;Train.Set;77.57
2;0.00001;0.000001;-2.0;Test.Set;69.77
2;0.00001;0.000001;0.0;Train.Set;77.13
2;0.00001;0.000001;0.0;Test.Set;68.82
2;0.000001;0.1;-8.0;Train.Set;67.21
2;0.000001;0.1;-8.0;Test.Set;65.11
2;0.000001;0.1;-4.0;Train.Set;69.14
2;0.000001;0.1;-4.0;Test.Set;66.85
2;0.000001;0.1;-2.0;Train.Set;69.47
2;0.000001;0.1;-2.0;Test.Set;67.07
2;0.000001;0.1;0.0;Train.Set;68.81
2;0.000001;0.1;0.0;Test.Set;66.43
2;0.000001;0.01;-8.0;Train.Set;74.68
2;0.000001;0.01;-8.0;Test.Set;68.82
2;0.000001;0.01;-4.0;Train.Set;76.18
2;0.000001;0.01;-4.0;Test.Set;69.79
2;0.000001;0.01;-2.0;Train.Set;76.55
2;0.000001;0.01;-2.0;Test.Set;69.79
2;0.000001;0.01;0.0;Train.Set;76.05
2;0.000001;0.01;0.0;Test.Set;68.85
2;0.000001;0.001;-8.0;Train.Set;75.86
2;0.000001;0.001;-8.0;Test.Set;68.96
2;0.000001;0.001;-4.0;Train.Set;77.29
2;0.000001;0.001;-4.0;Test.Set;69.90
2;0.000001;0.001;-2.0;Train.Set;77.56
2;0.000001;0.001;-2.0;Test.Set;69.66
2;0.000001;0.001;0.0;Train.Set;77.13
2;0.000001;0.001;0.0;Test.Set;68.72
2;0.000001;0.0001;-8.0;Train.Set;75.70
2;0.000001;0.0001;-8.0;Test.Set;68.86
2;0.000001;0.0001;-4.0;Train.Set;77.18
2;0.000001;0.0001;-4.0;Test.Set;69.78
2;0.000001;0.0001;-2.0;Train.Set;77.33
2;0.000001;0.0001;-2.0;Test.Set;69.61
2;0.000001;0.0001;0.0;Train.Set;76.92
2;0.000001;0.0001;0.0;Test.Set;68.66
2;0.000001;0.00001;-8.0;Train.Set;75.67
2;0.000001;0.00001;-8.0;Test.Set;68.86
2;0.000001;0.00001;-4.0;Train.Set;77.16
2;0.000001;0.00001;-4.0;Test.Set;69.73
2;0.000001;0.00001;-2.0;Train.Set;77.40
2;0.000001;0.00001;-2.0;Test.Set;69.61
2;0.000001;0.00001;0.0;Train.Set;76.86
2;0.000001;0.00001;0.0;Test.Set;68.66
2;0.000001;0.000001;-8.0;Train.Set;75.66
2;0.000001;0.000001;-8.0;Test.Set;68.86
2;0.000001;0.000001;-4.0;Train.Set;77.16
2;0.000001;0.000001;-4.0;Test.Set;69.72
2;0.000001;0.000001;-2.0;Train.Set;77.40
2;0.000001;0.000001;-2.0;Test.Set;69.60
2;0.000001;0.000001;0.0;Train.Set;76.89
2;0.000001;0.000001;0.0;Test.Set;68.67
3;0.1;0.1;-8.0;Train.Set;68.12
3;0.1;0.1;-8.0;Test.Set;65.57
3;0.1;0.1;-4.0;Train.Set;69.86
3;0.1;0.1;-4.0;Test.Set;67.15
3;0.1;0.1;-2.0;Train.Set;70.19
3;0.1;0.1;-2.0;Test.Set;67.40
3;0.1;0.1;0.0;Train.Set;69.68
3;0.1;0.1;0.0;Test.Set;66.65
3;0.1;0.01;-8.0;Train.Set;74.41
3;0.1;0.01;-8.0;Test.Set;69.13
3;0.1;0.01;-4.0;Train.Set;75.96
3;0.1;0.01;-4.0;Test.Set;70.09
3;0.1;0.01;-2.0;Train.Set;76.16
3;0.1;0.01;-2.0;Test.Set;70.11
3;0.1;0.01;0.0;Train.Set;75.75
3;0.1;0.01;0.0;Test.Set;69.21
3;0.1;0.001;-8.0;Train.Set;75.25
3;0.1;0.001;-8.0;Test.Set;69.21
3;0.1;0.001;-4.0;Train.Set;76.80
3;0.1;0.001;-4.0;Test.Set;70.06
3;0.1;0.001;-2.0;Train.Set;77.02
3;0.1;0.001;-2.0;Test.Set;70.03
3;0.1;0.001;0.0;Train.Set;76.62
3;0.1;0.001;0.0;Test.Set;69.23
3;0.1;0.0001;-8.0;Train.Set;73.61
3;0.1;0.0001;-8.0;Test.Set;68.63
