Num.Layers;PTWD;FTWD;TrainAcc;CVAcc
8;0.1;0.1;64.48;60.52
8;0.1;0.01;71.20;62.92
8;0.1;0.001;70.95;62.47
8;0.1;0.0001;71.31;62.38
8;0.1;0.00001;71.31;62.52
8;0.1;0.000001;71.29;62.50
8;0.01;0.1;65.00;60.93
8;0.01;0.01;73.06;62.95
8;0.01;0.001;73.23;62.59
8;0.01;0.0001;73.32;62.49
8;0.01;0.00001;73.34;62.50
8;0.01;0.000001;73.34;62.50
8;0.001;0.1;65.24;61.11
8;0.001;0.01;72.56;62.86
8;0.001;0.001;74.04;62.55
8;0.001;0.0001;74.18;62.52
8;0.001;0.00001;74.18;62.51
8;0.001;0.000001;74.18;62.51
8;0.0001;0.1;65.14;61.15
8;0.0001;0.01;72.67;63.02
8;0.0001;0.001;74.70;62.36
8;0.0001;0.0001;74.25;62.05
8;0.0001;0.00001;74.27;62.05
8;0.0001;0.000001;74.27;62.05
8;0.00001;0.1;65.00;61.01
8;0.00001;0.01;72.60;62.99
8;0.00001;0.001;73.09;62.41
8;0.00001;0.0001;73.18;62.33
8;0.00001;0.00001;73.19;62.35
8;0.00001;0.000001;73.19;62.34
8;0.000001;0.1;65.18;61.01
8;0.000001;0.01;72.62;62.88
8;0.000001;0.001;74.03;62.52
8;0.000001;0.0001;73.20;62.44
8;0.000001;0.00001;73.21;62.45
8;0.000001;0.000001;73.21;62.44
