Feature.Type;Context;INSWORD;Evaluation.Set;Acc
MFC_E_Z;-4,-3,-2,-1,0,1,2,3,4;2.0;Test.Set;56.34
MFC_E_Z;-4,-3,-2,-1,0,1,2,3,4;4.0;Train.Subset;53.09
MFC_E_Z;-4,-3,-2,-1,0,1,2,3,4;4.0;Test.Set;46.85
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-32.0;Train.Subset;53.97
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-32.0;Test.Set;50.66
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-16.0;Train.Subset;63.47
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-16.0;Test.Set;59.26
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-8.0;Train.Subset;68.92
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-8.0;Test.Set;64.03
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-4.0;Train.Subset;70.70
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-4.0;Test.Set;65.28
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-2.0;Train.Subset;70.72
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-2.0;Test.Set;64.94
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;0.0;Train.Subset;69.42
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;0.0;Test.Set;63.26
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;2.0;Train.Subset;65.72
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;2.0;Test.Set;59.19
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;4.0;Train.Subset;57.87
MFC_E_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;4.0;Test.Set;50.62
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-32.0;Train.Subset;54.45
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-32.0;Test.Set;50.87
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-16.0;Train.Subset;63.78
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-16.0;Test.Set;59.51
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-8.0;Train.Subset;69.42
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-8.0;Test.Set;64.22
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-4.0;Train.Subset;71.21
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-4.0;Test.Set;65.64
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-2.0;Train.Subset;71.28
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-2.0;Test.Set;65.21
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;0.0;Train.Subset;70.34
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;0.0;Test.Set;63.69
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;2.0;Train.Subset;67.14
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;2.0;Test.Set;59.91
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;4.0;Train.Subset;59.83
MFC_E_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;4.0;Test.Set;51.64
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;-32.0;Train.Subset;54.32
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;-32.0;Test.Set;50.62
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;-16.0;Train.Subset;63.83
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;-16.0;Test.Set;59.34
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;-8.0;Train.Subset;69.23
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;-8.0;Test.Set;64.12
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;-4.0;Train.Subset;71.37
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;-4.0;Test.Set;65.56
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;-2.0;Train.Subset;71.58
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;-2.0;Test.Set;65.54
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;0.0;Train.Subset;70.55
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;0.0;Test.Set;64.14
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;2.0;Train.Subset;67.34
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;2.0;Test.Set;60.37
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;4.0;Train.Subset;60.05
MFC_E_Z;-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7;4.0;Test.Set;52.30
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;-32.0;Train.Subset;54.69
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;-32.0;Test.Set;50.77
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;-16.0;Train.Subset;64.04
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;-16.0;Test.Set;59.24
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;-8.0;Train.Subset;69.63
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;-8.0;Test.Set;63.97
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;-4.0;Train.Subset;71.87
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;-4.0;Test.Set;65.55
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;-2.0;Train.Subset;72.21
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;-2.0;Test.Set;65.48
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;0.0;Train.Subset;71.22
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;0.0;Test.Set;64.37
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;2.0;Train.Subset;68.12
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;2.0;Test.Set;61.04
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;4.0;Train.Subset;60.95
MFC_E_Z;-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8;4.0;Test.Set;53.13
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;-32.0;Train.Subset;53.38
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;-32.0;Test.Set;49.97
